hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,22,2015,August,34,21,0,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,17.0,0,Transient-Party,75.0,0,0,Check-Out,2015-08-22
City Hotel,0,5,2017,February,5,2,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,0,Transient,0.0,0,3,Check-Out,2017-02-02
Resort Hotel,1,135,2016,December,53,30,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.5,0,0,Canceled,2016-09-20
Resort Hotel,0,218,2017,June,25,20,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,116.43,1,1,Check-Out,2017-06-27
City Hotel,0,126,2017,July,27,6,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.0,0,0,Check-Out,2017-07-12
City Hotel,0,0,2015,August,34,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,124.0,0,0,Check-Out,2015-08-21
Resort Hotel,1,72,2016,July,31,25,1,1,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,227.0,0,0,Canceled,2016-05-22
City Hotel,0,11,2017,March,9,3,1,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,79.2,0,1,Check-Out,2017-03-06
City Hotel,0,49,2016,March,10,5,2,1,2,0.0,0,SC,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,69.5,0,0,Check-Out,2016-03-08
City Hotel,0,38,2017,February,6,11,2,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132.0,0,Transient,68.0,0,0,Check-Out,2017-02-17
Resort Hotel,0,24,2015,December,51,19,2,3,2,1.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314.0,0,Transient,91.9,0,1,Check-Out,2015-12-24
City Hotel,0,0,2015,August,34,19,0,2,2,1.0,0,SC,LVA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,0,Contract,97.0,0,3,Check-Out,2015-08-21
City Hotel,0,0,2016,August,35,27,1,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,9.0,0,Transient,149.0,0,0,Check-Out,2016-08-29
City Hotel,0,7,2016,March,13,26,1,1,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,182.0,0,2,Check-Out,2016-03-28
Resort Hotel,0,0,2016,April,18,26,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,47.7,0,0,Check-Out,2016-04-28
City Hotel,0,5,2016,October,43,17,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,160.0,0,2,Check-Out,2016-10-22
City Hotel,1,124,2017,January,1,3,0,4,2,1.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,103.7,0,1,Canceled,2016-09-30
City Hotel,1,162,2017,April,13,1,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296.0,0,Transient-Party,98.0,0,0,Canceled,2016-12-10
Resort Hotel,1,121,2015,September,38,16,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,74.0,0,0,Canceled,2015-05-19
Resort Hotel,0,15,2016,November,47,17,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,436.0,0,Transient,37.8,0,0,Check-Out,2016-11-24
Resort Hotel,0,25,2015,July,31,31,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,B,B,1,No Deposit,250.0,0,Transient,134.0,0,0,Check-Out,2015-08-02
Resort Hotel,0,43,2016,October,44,29,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,F,1,No Deposit,240.0,0,Transient,79.0,0,0,Check-Out,2016-11-02
City Hotel,0,146,2017,April,15,10,1,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,101.25,0,1,Check-Out,2017-04-14
City Hotel,1,68,2016,April,17,23,2,2,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,110.5,0,0,Canceled,2016-03-18
City Hotel,0,9,2016,November,48,26,2,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,83.0,0,Transient,150.07,0,0,Check-Out,2016-11-29
City Hotel,0,114,2017,June,26,26,1,2,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,171.0,0,0,Check-Out,2017-06-29
City Hotel,1,220,2016,December,52,21,1,4,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,104.55,0,0,Canceled,2016-07-20
City Hotel,0,8,2017,July,30,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14.0,0,Transient,65.0,0,0,Check-Out,2017-07-28
Resort Hotel,1,24,2017,July,30,24,1,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,227.0,0,0,Canceled,2017-07-01
City Hotel,1,50,2016,November,48,20,2,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,74.8,0,1,Canceled,2016-10-11
City Hotel,0,3,2017,January,2,13,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,108.0,0,2,Check-Out,2017-01-14
City Hotel,0,40,2016,August,36,28,2,5,2,1.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,127.16,0,0,Check-Out,2016-09-04
City Hotel,1,26,2015,September,39,24,1,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,227.0,0,1,Canceled,2015-09-15
Resort Hotel,1,149,2016,October,41,4,0,5,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,69.0,0,0,Canceled,2016-08-11
Resort Hotel,1,201,2016,March,12,19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.54,0,1,Canceled,2016-02-13
City Hotel,0,38,2017,June,24,11,1,0,2,2.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,168.0,0,Transient,155.0,0,0,Check-Out,2017-06-12
City Hotel,0,21,2017,August,32,7,1,1,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,180.0,0,2,Check-Out,2017-08-09
City Hotel,0,35,2016,November,45,2,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,1,Check-Out,2016-11-05
City Hotel,0,38,2015,November,45,5,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,28.0,0,Group,60.0,0,0,Check-Out,2015-11-09
City Hotel,0,49,2017,July,29,17,1,1,2,0.0,0,HB,GBR,Direct,Direct,0,0,0,D,D,3,No Deposit,14.0,0,Transient,194.5,0,1,Check-Out,2017-07-19
City Hotel,1,101,2017,April,16,20,1,3,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,198.0,0,0,Canceled,2017-04-12
City Hotel,0,87,2017,April,15,12,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,105.0,0,0,Check-Out,2017-04-15
Resort Hotel,0,1,2016,December,51,14,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,8.0,0,Transient,30.0,0,0,Check-Out,2016-12-15
City Hotel,0,67,2017,May,18,2,0,3,2,0.0,0,BB,SWE,Groups,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,120.0,0,0,Check-Out,2017-05-05
Resort Hotel,0,17,2016,December,53,26,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14.0,0,Transient,27.0,0,0,Check-Out,2016-12-30
Resort Hotel,0,140,2017,April,17,24,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,251.0,0,Transient,74.0,0,1,Check-Out,2017-04-25
City Hotel,0,1,2016,January,2,3,2,1,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,97.0,0,0,Check-Out,2016-01-06
City Hotel,0,83,2017,April,16,18,0,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,0,Transient,108.0,0,1,Check-Out,2017-04-19
Resort Hotel,0,11,2015,September,37,11,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,77.11,0,0,Check-Out,2015-09-18
City Hotel,1,117,2017,April,17,29,0,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,0,Transient,153.0,0,0,Canceled,2017-03-15
Resort Hotel,0,0,2017,July,27,5,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient,123.0,0,0,Check-Out,2017-07-06
City Hotel,1,78,2016,October,43,21,2,2,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,132.3,0,0,Canceled,2016-08-09
City Hotel,0,191,2016,June,26,23,0,3,1,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,34.0,0,Transient-Party,95.0,0,0,Check-Out,2016-06-26
Resort Hotel,1,2,2015,October,41,10,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,56.0,0,0,Canceled,2015-10-09
City Hotel,0,19,2016,January,1,1,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,81.82,0,1,Check-Out,2016-01-04
Resort Hotel,1,142,2017,August,32,6,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,220.0,0,0,Canceled,2017-03-23
Resort Hotel,1,208,2016,April,17,19,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,E,E,0,Non Refund,273.0,0,Transient,60.3,0,0,Canceled,2016-03-18
City Hotel,1,57,2017,May,20,16,2,6,2,0.0,0,SC,EGY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,144.0,0,0,Canceled,2017-04-20
City Hotel,0,0,2017,April,15,13,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,425.0,0,Transient,123.0,0,0,Check-Out,2017-04-15
City Hotel,0,4,2016,April,16,16,1,1,1,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,104.0,0,0,Check-Out,2016-04-18
Resort Hotel,1,104,2017,May,19,8,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,0,Transient,40.95,0,0,Canceled,2017-01-24
Resort Hotel,1,296,2016,September,36,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,0,Transient,81.0,0,2,Canceled,2015-10-21
City Hotel,0,102,2016,April,16,14,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,B,B,3,No Deposit,9.0,0,Transient-Party,77.78,0,1,Check-Out,2016-04-18
Resort Hotel,1,33,2017,January,4,25,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,58.0,0,0,Canceled,2017-01-05
City Hotel,0,62,2016,April,15,9,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,118.8,0,0,Check-Out,2016-04-12
Resort Hotel,0,72,2016,April,15,9,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,0,Transient-Party,41.4,0,0,Check-Out,2016-04-16
City Hotel,1,75,2017,April,13,1,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,126.0,0,1,Canceled,2017-01-22
City Hotel,1,12,2016,December,53,28,0,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,125.8,0,1,Canceled,2016-12-21
Resort Hotel,0,14,2017,May,22,31,0,1,1,0.0,0,BB,PRT,Offline TA/TO,Corporate,1,0,2,A,D,2,No Deposit,14.0,0,Transient,45.0,0,2,Check-Out,2017-06-01
City Hotel,0,141,2016,September,39,23,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,0,Transient,163.8,0,1,Check-Out,2016-09-25
Resort Hotel,1,296,2017,August,31,5,2,3,2,1.0,0,HB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,227.0,0,1,Canceled,2017-07-23
City Hotel,1,104,2016,May,20,11,2,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,109.65,0,0,Canceled,2016-02-16
City Hotel,1,40,2016,January,2,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,D,D,0,No Deposit,3.0,0,Transient,60.0,0,1,Canceled,2015-11-30
Resort Hotel,1,71,2016,May,19,6,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0,Transient,74.75,0,0,Canceled,2016-02-25
Resort Hotel,0,34,2015,December,53,27,2,1,2,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6.0,0,Transient,32.5,0,1,Check-Out,2015-12-30
City Hotel,0,11,2017,June,26,29,1,3,3,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,225.0,0,1,Check-Out,2017-07-03
City Hotel,1,0,2016,March,13,21,1,1,1,0.0,0,BB,PRT,Complementary,Direct,1,3,15,G,G,0,No Deposit,14.0,0,Transient,0.0,0,1,Canceled,2016-03-21
Resort Hotel,0,18,2017,July,30,28,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,E,E,0,No Deposit,187.0,0,Transient,14.0,0,0,Check-Out,2017-07-30
Resort Hotel,0,51,2016,November,48,26,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,339.0,0,Transient-Party,44.64,0,0,Check-Out,2016-12-03
Resort Hotel,0,125,2017,June,25,20,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,0,Transient,150.0,0,1,Check-Out,2017-06-23
City Hotel,0,66,2017,May,19,11,0,3,2,0.0,0,BB,ISL,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,0,Transient,227.0,0,0,Check-Out,2017-05-14
City Hotel,0,10,2016,August,34,18,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,140.0,0,2,Check-Out,2016-08-19
Resort Hotel,0,53,2017,August,33,14,2,5,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,218.0,0,1,Check-Out,2017-08-21
City Hotel,1,250,2016,December,53,30,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,84.15,0,2,Canceled,2016-12-19
City Hotel,0,1,2017,May,18,3,0,2,2,0.0,0,SC,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,150.0,0,0,Check-Out,2017-05-05
Resort Hotel,1,28,2017,August,31,1,2,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,227.0,0,0,Canceled,2017-07-05
Resort Hotel,0,91,2016,August,33,8,1,4,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,215.0,0,1,Check-Out,2016-08-13
Resort Hotel,0,34,2017,January,1,2,1,4,2,1.0,0,HB,ESP,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,0,Transient,88.53,0,0,Check-Out,2017-01-07
City Hotel,0,0,2015,August,36,31,1,2,2,2.0,0,BB,VEN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Contract,155.33,0,0,Check-Out,2015-09-03
Resort Hotel,1,268,2017,July,27,3,3,8,3,1.0,0,BB,NOR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,208.73,0,0,Canceled,2016-10-08
City Hotel,0,12,2017,January,3,16,1,3,2,0.0,0,SC,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.33,0,0,Check-Out,2017-01-20
City Hotel,0,136,2016,April,18,28,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,102.85,0,0,Check-Out,2016-05-03
Resort Hotel,0,82,2015,September,37,10,2,3,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,153.0,0,1,Check-Out,2015-09-15
City Hotel,1,46,2015,December,52,22,4,12,2,0.0,0,BB,AGO,Direct,Direct,0,1,0,A,A,0,No Deposit,14.0,0,Transient,72.25,0,0,Canceled,2015-12-03
City Hotel,1,0,2017,March,11,18,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,12.0,0,0,Canceled,2017-03-18
Resort Hotel,0,34,2017,February,7,18,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,43.0,0,2,Check-Out,2017-02-20
Resort Hotel,0,44,2016,June,24,7,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient-Party,130.5,1,0,Check-Out,2016-06-11
City Hotel,0,101,2016,April,16,14,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,0,Transient-Party,77.78,0,1,Check-Out,2016-04-18
City Hotel,1,174,2017,July,31,31,1,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,0,Transient,184.5,0,0,Canceled,2017-04-18
City Hotel,0,126,2016,September,39,23,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,129.6,0,2,Check-Out,2016-09-28
City Hotel,0,80,2017,July,27,7,0,1,2,0.0,0,BB,DNK,Direct,Direct,0,0,0,A,C,0,No Deposit,14.0,0,Transient-Party,108.0,0,1,Check-Out,2017-07-08
City Hotel,0,68,2016,November,47,19,1,1,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,0,Transient,85.75,0,0,Check-Out,2016-11-21
Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,BB,ITA,Groups,Direct,0,0,0,A,A,0,Refundable,14.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-04
Resort Hotel,0,94,2017,January,1,4,2,5,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,0,Transient,54.0,0,2,Check-Out,2017-01-11
Resort Hotel,0,296,2017,August,32,6,2,5,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,0,Transient,133.74,0,1,Check-Out,2017-08-13
Resort Hotel,0,97,2016,July,30,21,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,6,No Deposit,240.0,0,Transient,227.0,0,2,Check-Out,2016-07-22
City Hotel,0,90,2016,April,16,12,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,96.3,0,2,Check-Out,2016-04-15
Resort Hotel,1,81,2016,February,6,6,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,70.2,0,1,Canceled,2016-01-18
City Hotel,0,12,2017,February,7,12,2,0,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,1,Check-Out,2017-02-14
City Hotel,0,19,2015,September,39,21,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,124.0,0,0,Check-Out,2015-09-23
City Hotel,0,148,2017,June,23,8,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,142.67,0,2,Check-Out,2017-06-11
City Hotel,0,0,2015,November,46,9,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,85.0,1,0,Check-Out,2015-11-10
Resort Hotel,0,153,2015,October,42,16,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,0,Transient-Party,0.0,0,3,Check-Out,2015-10-16
Resort Hotel,0,2,2015,November,47,18,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14.0,0,Transient,38.0,0,0,Check-Out,2015-11-19
City Hotel,1,79,2016,October,42,12,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,119.07,0,0,Canceled,2016-08-04
City Hotel,0,32,2017,June,23,10,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,133.33,0,0,Check-Out,2017-06-13
Resort Hotel,0,296,2017,May,21,25,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,4,No Deposit,14.0,0,Transient-Party,67.5,0,3,Check-Out,2017-06-01
City Hotel,0,6,2017,April,17,28,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,162.5,0,2,Check-Out,2017-05-02
City Hotel,0,190,2017,July,29,17,1,2,1,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,99.9,0,0,Check-Out,2017-07-20
Resort Hotel,0,177,2017,June,26,30,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,314.0,0,Transient,101.95,0,0,Check-Out,2017-07-10
Resort Hotel,0,296,2017,July,27,7,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,104.85,0,1,Check-Out,2017-07-14
Resort Hotel,1,273,2017,June,25,24,2,6,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient,81.76,0,1,Canceled,2017-04-20
City Hotel,0,9,2016,February,6,5,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,0,Transient,66.0,0,0,Check-Out,2016-02-08
Resort Hotel,1,88,2017,August,32,11,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,227.0,0,1,Canceled,2017-07-04
City Hotel,0,97,2017,April,16,22,2,2,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,172.8,0,2,Check-Out,2017-04-26
Resort Hotel,0,2,2017,July,29,19,0,4,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,241.0,0,Transient,156.1,0,1,Check-Out,2017-07-23
